Marque_voiture,Modele,Kilometrage,Couleur,TypeBoite,Annee,Cylindre,Puissance,Carburant,Prix,Age
Hyundai,Ix 35,119,Blanc,Manuelle,2015,1.4,7,Diesel,800000,9
Mercedes-Benz,Classe B,186000,Blanc,Automatique,2017,1.8,7,Essence,57000,7
Ford,Fiesta,180000,Bleu,Manuelle,2017,1.2,5,Essence,29700,7
Kia,Picanto,100,Noir,Manuelle,2019,1.2,4,Essence,39400,5
Citroen,C4 Cactus,148000,Blanc,Manuelle,2017,1.2,5,Essence,37500,7
Renault,Modus,171000,Bleu,Manuelle,2008,1.4,5,Essence,22800,16
Seat,Ibiza,92000,Noir,Manuelle,2018,1.0,4,Essence,43300,6
Volkswagen,Amarok,241000,Marron,Manuelle,2012,2.5,8,Diesel,50000,12
Toyota,RAV 4,245000,Gris,Manuelle,2004,2.0,8,Diesel,28500,20
Volkswagen,Golf 7,52,Gris,Manuelle,2014,1.2,6,Essence,51000,10
Ford,Fiesta,300,Vert,Manuelle,1997,1.2,5,Essence,6000,27
Renault,Clio,208000,Noir,Manuelle,2008,1.2,5,Essence,25500,16
Kia,Picanto,54,Blanc,Manuelle,2020,1.2,5,Essence,39300,4
Skoda,Superb,6000,Gris,Automatique,2023,1.6,7,Essence,29500,1
Peugeot,Partner,190000,Blanc,Manuelle,2018,1.5,5,Diesel,33800,6
Volkswagen,Tiguan,0,Blanc,Manuelle,2024,1.2,6,Essence,76000,0
Hyundai,Tucson,50000,Gris,Automatique,2021,1.6,7,Diesel,155000,3
Volkswagen,Golf,191000,Gris,Manuelle,2011,1.6,6,Diesel,40500,13
Citroen,C5,220000,Bleu,Manuelle,2010,1.6,6,Diesel,28800,14
Peugeot,207,190,Blanc,Manuelle,2011,1.4,5,Essence,1234,13
Isuzu,D-MAX,100000,Blanc,Manuelle,2020,1.2,6,Essence,14900,4
Renault,Master,450,Blanc,Manuelle,2000,2.0,8,Diesel,17500,24
Peugeot,505,480000,Camel,Manuelle,1981,1.6,7,Diesel,15000,43
Renault,Clio,172,Doré,Manuelle,2007,1.2,5,Essence,21800,17
Dacia,Sandero,12900,Orange,Manuelle,2021,1.0,5,Essence,57500,3
BMW,Serie 1,168000,Noir,Automatique,2012,1.6,7,Essence,52500,12
Suzuki,Celerio,72000,Bleu,Manuelle,2020,1.0,4,Essence,31500,4
Toyota,RAV 4,177,Camel,Automatique,2004,2.0,10,Essence,34200,20
Ford,Fiesta,159000,Blanc,Manuelle,2011,1.2,5,Essence,27500,13
Hyundai,Grand i10,30000,Gris,Manuelle,2021,1.0,4,Essence,42500,3
Mahindra,Hover,129,Beige,Manuelle,2020,1.4,5,Essence,28500,4
Renault,Clio,14000,Gris,Manuelle,2020,1.2,5,Essence,49000,4
Volkswagen,Touareg,170000,Bleu,Automatique,2004,3.0,16,Diesel,40000,20
Volkswagen,Polo,500,Blanc,Manuelle,2009,1.9,4,Diesel,6000,15
Toyota,Corolla verso,200,Bleu,Manuelle,1985,1.0,6,Essence,7000,39
Volkswagen,Golf,37000,Bleu,Manuelle,2009,1.4,5,Essence,37000,15
Volkswagen,Polo,176000,Noir,Manuelle,2011,1.2,5,Essence,31500,13
Peugeot,106,336000,Gris,Manuelle,1992,1.4,6,Essence,7500,32
Seat,Leon,94000,Noir,Manuelle,2018,1.2,6,Essence,48000,6
Mahindra,Hover,215000,Blanc,Manuelle,2014,2.5,8,Diesel,33000,10
Citroen,C4,129000,Rouge,Manuelle,2016,1.2,6,Essence,11111,8
Peugeot,2008,75000,Vert,Manuelle,2018,1.4,5,Essence,495000,6
Chery,Tiggo,78000,Blanc,Manuelle,2019,1.2,6,Essence,43500,5
Fiat,Fiorino,190000,Blanc,Manuelle,2021,1.5,4,Diesel,12345,3
Acrea,Zest,38000,Bleu,Automatique,2019,1.5,7,Essence,74000,5
BMW,Serie 5,193000,Noir,Automatique,2009,2.0,9,Essence,46000,15
Renault,Scenic,190000,Gris,Manuelle,2005,1.9,7,Diesel,24000,19
Mercedes-Benz,Classe C,211000,Doré,Automatique,2007,2.0,11,Essence,45000,17
Citroen,C3,76000,Noir,Manuelle,2019,1.2,4,Essence,40500,5
Kia,Rio,50000,Noir,Manuelle,2022,1.4,6,Essence,59500,2
Hyundai,I 20,50000,Blanc,Manuelle,2022,1.2,5,Essence,65000,2
Volkswagen,Caddy,222222,Blanc,Manuelle,2002,1.9,7,Diesel,8500,22
Renault,Clio,80000,Blanc,Manuelle,2021,1.2,5,Essence,39500,3
Peugeot,208,150000,Blanc,Manuelle,2014,1.2,4,Essence,26000,10
Hyundai,Grand i10,36000,Rouge,Manuelle,2021,1.2,5,Essence,49000,3
Fiat,Grande Punto,165,Gris,Manuelle,2013,1.2,4,Essence,25800,11
Ssangyong,Family,58000,Gris,Automatique,2017,1.6,7,Diesel,65000,7
Kia,Rio,168000,Rouge,Manuelle,2013,1.2,5,Essence,36000,11
BMW,Serie 4,110000,Blanc,Automatique,2020,1.8,7,Essence,109000,4
Suzuki,Swift,187000,Noir,Manuelle,2017,3.5,5,Essence,11000,7
Nissan,Qashqai,280,Beige,Manuelle,2010,2.0,9,Diesel,30000,14
Volkswagen,Caddy,15400,Beige,Manuelle,2023,2.0,7,Diesel,18000,1
Fiat,Tipo,93000,Gris,Manuelle,2020,1.4,6,Essence,41000,4
Alfa Romeo,Mito,45000,Marron,Manuelle,2019,1.4,5,Essence,55000,5
Mazda,3,98000,Gris,Manuelle,2018,2.0,6,Essence,1111111,6
Kia,Rio,190000,Gris,Manuelle,2013,1.2,5,Essence,1111,11
Mazda,2,220,Gris,Manuelle,2014,1.4,5,Essence,27500,10
Fiat,500,130,Blanc,Manuelle,2015,1.4,4,Essence,32000,9
Renault,Clio,280000,Rouge,Manuelle,2000,1.2,4,Essence,13800,24
Volkswagen,Golf,380000,Blanc,Manuelle,2007,1.9,6,Diesel,32000,17
Mercedes-Benz,Classe A,180000,Beige,Manuelle,2014,1.6,6,Essence,53000,10
Peugeot,Expert,100000,Blanc,Manuelle,2000,1.6,6,Diesel,20000,24
Kia,Sportage,190000,Blanc,Automatique,2012,2.0,10,Essence,58001,12
Peugeot,Partner,320000,Blanc,Automatique,2007,1.9,6,Diesel,20000,17
Fiat,Punto,161000,Bleu,Manuelle,2008,1.2,5,Essence,18000,16
Renault,Clio,74000,Gris,Manuelle,2021,1.2,5,Essence,44800,3
Renault,Laguna Estate,1234,Noir,Manuelle,2010,1.5,6,Diesel,1234,14
Toyota,Yaris,93000,Noir,Manuelle,2018,1.0,4,Essence,38500,6
Suzuki,Swift,11500,Noir,Manuelle,2020,1.2,5,Essence,37000,4
Citroen,C-Elysée,130000,Blanc,Manuelle,2020,1.4,5,Essence,24800,4
Peugeot,206,230,Blanc,Manuelle,2009,1.4,6,Diesel,25000,15
Toyota,RAV 4,240000,Gris,Automatique,2008,2.0,10,Essence,46000,16
Suzuki,Swift,115000,Noir,Manuelle,2020,1.2,5,Essence,37000,4
Volkswagen,Polo,81000,Gris,Manuelle,2020,1.4,5,Essence,43000,4
Renault,Symbol,285000,Doré,Manuelle,2010,1.2,5,Essence,23000,14
Peugeot,2008,129000,Gris,Manuelle,2017,1.2,5,Essence,47000,7
Jaguar,F-Type,165000,Blanc,Automatique,2017,2.0,10,Diesel,170000,7
Opel,Mokka,27000,Blanc,Manuelle,2018,1.2,4,Essence,69000,6
Citroen,C5,210,Gris,Manuelle,2009,1.6,6,Diesel,26000,15
Fiat,Palio,300000,Argent,Manuelle,2006,1.4,5,Essence,11300,18
Kia,Sportage,105000,Noir,Automatique,2019,1.6,8,Essence,88000,5
Seat,Ibiza,99000,Noir,Manuelle,2021,1.0,4,Essence,44500,3
Geely,GK-GL,120000,Orange,Manuelle,2018,1.5,6,Essence,38500,6
Kia,Sportage,185479,Gris,Automatique,2018,1.7,8,Essence,75000,6
Nissan,Juke,154000,Noir,Automatique,2017,1.6,7,Essence,53000,7
Peugeot,301,78000,Noir,Manuelle,2016,1.6,5,Essence,28000,8
Toyota,Yaris Verso,55000,Noir,Manuelle,2020,1.0,4,Essence,39000,4
Peugeot,208,98000,Noir,Manuelle,2014,1.2,5,Essence,30000,10
Peugeot,208,57000,Gris,Manuelle,2021,1.2,4,Essence,35000,3
Opel,Corsa,285609,Gris,Manuelle,1996,1.0,4,Essence,12500,28
Volkswagen,Passat,182,Bleu,Manuelle,2012,1.6,5,Diesel,44000,12
Kia,Rio,177000,Bleu,Manuelle,2016,1.4,5,Essence,35000,8
Renault,Clio,116845,Noir,Manuelle,2016,3.0,5,Essence,39000,8
Renault,Symbol,140000,Noir,Manuelle,2015,1.1,5,Essence,29700,9
Hyundai,I 10,12600,Gris,Manuelle,2022,1.0,4,Essence,45000,2
BMW,Serie 4,95000,Noir,Automatique,2018,1.5,7,Essence,109000,6
Renault,Clio,255000,Noir,Manuelle,2002,1.2,5,Essence,17800,22
Hyundai,Tucson,60000,Gris,Automatique,2022,1.6,7,Diesel,155000,2
Skoda,Fabia,184000,Noir,Manuelle,2020,1.0,75,Essence,31000,4
Jeep,Compass,9000,Gris,Automatique,2023,1.4,8,Essence,158000,1
Chery,Tiggo,7000,Noir,Automatique,2023,1.5,9,Essence,95000,1
Peugeot,308,247445,Noir,Manuelle,2012,1.4,6,Essence,25000,12
Renault,Clio,151000,Rouge,Manuelle,2015,1.2,5,Essence,34000,9
Citroen,DS5,122000,Camel,Automatique,2013,1.6,9,Essence,43000,11
Mahindra,Hover,39136,Rouge,Manuelle,2021,1.2,5,Essence,37000,3
Fiat,Punto,230,Gris,Manuelle,2004,1.4,5,Essence,16000,20
Kia,Rio,152500,Gris,Manuelle,2016,1.2,5,Essence,40700,8
Peugeot,406,189000,Bleu,Manuelle,1998,1.9,7,Essence,12700,26
Volkswagen,Golf 7,160000,Gris,Manuelle,2018,1.6,6,Diesel,69500,6
Kia,Cerato,180,Gris,Automatique,2013,1.6,8,Essence,37500,11
Kia,Picanto,73000,Noir,Automatique,2020,1.2,5,Essence,45000,4
Fiat,500,102000,Rouge,Automatique,2017,1.2,4,Essence,38500,7
Volkswagen,Caddy,143000,Blanc,Manuelle,2015,1.6,5,Diesel,31800,9
BMW,Serie 3,178,Blanc,Automatique,2012,1.6,7,Essence,57000,12
Citroen,C3,405,Bleu,Manuelle,2003,1.2,5,Essence,16000,21
Fiat,Bravo,185000,Rouge,Manuelle,2009,1.4,6,Essence,22000,15
Mazda,3,140000,Marron,Manuelle,2015,1.6,6,Essence,48000,9
Renault,Clio,230,Noir,Manuelle,2005,1.2,4,Essence,6000,19
Audi,A5,81000,Bleu,Automatique,2019,3.5,8,Essence,125000,5
Nissan,Qashqai,243,Bleu,Manuelle,2014,1.6,7,Diesel,11111,10
Volkswagen,Polo,223000,Noir,Manuelle,2006,1.2,4,Essence,22500,18
Volkswagen,Caddy,480,Gris,Manuelle,2015,1.6,5,Diesel,33000,9
Audi,A5,81000,Bleu,Automatique,2019,3.5,8,Essence,124999,5
Volkswagen,Passat CC,180000,Noir,Manuelle,2016,1.4,7,Essence,57000,8
Volkswagen,Caddy,129000,Blanc,Manuelle,2018,1.6,5,Diesel,39900,6
Volkswagen,Golf 7,119000,Gris,Manuelle,2019,1.6,6,Diesel,74500,5
Mercedes-Benz,Classe C,163000,Noir,Automatique,2014,1.6,9,Essence,112000,10
Volkswagen,Golf 8,11000,Gris,Manuelle,2021,1.0,6,Essence,110000,3
Mercedes-Benz,Classe A,80000,Blanc,Automatique,2019,1.8,9,Essence,145000,5
Opel,Adam,123000,Violet,Manuelle,2015,1.2,4,Essence,38500,9
Peugeot,Partner,114000,Blanc,Manuelle,2019,1.5,6,Diesel,75000,5
Hyundai,Veloster,131000,Blanc,Automatique,2013,1.6,8,Essence,38500,11
Mazda,E2000,179000,Gris,Manuelle,2016,1.5,6,Essence,32500,8
Citroen,C35,26000,Blanc,Manuelle,2021,1.2,5,Essence,48500,3
Seat,Leon,154000,Blanc,Manuelle,2016,1.2,6,Essence,51000,8
Kia,Picanto,159000,Gris,Automatique,2014,1.2,5,Essence,33000,10
Peugeot,3008,120,Blanc,Automatique,2019,1.2,7,Essence,88000,5
Fiat,Doblo,200,Blanc,Manuelle,2016,1.4,5,Diesel,21000,8
Citroen,C3,86300,Gris,Manuelle,2012,1.5,5,Essence,33900,12
BMW,Serie 3 GT,100000,Noir,Manuelle,1995,2.0,9,Essence,1900,29
Fiat,Tipo,90,Doré,Manuelle,2020,1.4,6,Essence,39000,4
Citroen,C3,121800,Blanc,Manuelle,2012,1.2,5,Essence,24000,12
Renault,Clio,117000,Vert,Manuelle,2004,1.4,5,Essence,20000,20
Isuzu,Landwind,366734,Blanc,Manuelle,1996,2.5,10,Diesel,24000,28
