Marque_voiture,Modele,Kilometrage,Couleur,TypeBoite,Annee,Cylindre,Puissance,Carburant,Prix
Compacte,1.2L,183000,Gris,Manuelle,Essence,0,2004,Siena,15500
Dacia,Sandero,12983,Camel,Manuelle,2021,<1.0L,5,Essence,57500
BMW,Serie 1,169000,Noir,Automatique,2013,1.6L,7,Essence,52500
Peugeot,206+,400000,Noir,Manuelle,2000,1.1L,4,Essence,12800
Volkswagen,Golf,232000,Gris,Manuelle,2005,1.9L,6,Diesel,26000
Citroen,Berlingo,0000000,Vert,Manuelle,2002,<1.0L,0000000,Diesel,9999999
Kia,Rio,89000,Rouge,Manuelle,2014,1.2L,5,Essence,36500
Suzuki,Celerio,52500,Gris,Manuelle,2020,<1.0L,4,Essence,31600
Iveco,Daily,285500,Blanc,Manuelle,2008,>4.0L,10,Diesel,29000
Kia,Sorento,185000,Blanc,Automatique,2016,3.0L,12,Diesel,89000
Volkswagen,New Beetle,212,Bleu,Manuelle,2000,1.6L,8,Essence,17000
Renault,Clio,305,Bleu,Manuelle,2001,1.2L,4,Essence,16500
4,Compacte,1,Nouveau,1997,Opel,Corsa,Essence,1.4L,10498
Renault,Clio,210000,Noir,Manuelle,2008,1.2L,5,Essence,20000
Fiat,Fiorino,62000,Blanc,Manuelle,2022,1.3L,5,Diesel,34000
Seat,Ibiza,132000,Blanc,Manuelle,2017,<1.0L,4,Essence,38000
Caddy,Diesel,219000,Manuelle,Utilitaire,Blanc,2008,Avec kilométrage,5,20500
Fiat,Punto,180,Noir,Manuelle,2014,1.2L,5,Essence,21500
Tipo,6,95000,Gris,2019,1.4L,Fiat,Berline,Nouveau,11111
Mercedes-Benz,Classe C,351.000,Autre,Automatique,2005,2.0L,8,Diesel,30500
Seat,Ibiza,22000,Blanc,Manuelle,2022,<1.0L,4,Essence,11111110
Volkswagen,Jetta,2500000,Noir,Manuelle,2009,1.6L,5,Essence,30000
Audi,A4,148000,Noir,Manuelle,2013,1.8L,7,Essence,54500
301,5,525000,Blanc,Manuelle,2016,Peugeot,Berline,1.6L,16500
Citroen,C-Elysée,88460,Gris,Manuelle,2019,1.2L,5,Essence,26800
Peugeot,301,86000,Noir,Nouveau,2015,Manuelle,5,Essence,24800
Renault,Clio,77000,Rouge,Manuelle,2020,1.2L,5,Essence,41000
Fiat,Panda,22500,Blanc,Manuelle,2023,1.2L,4,Essence,47000
Suzuki,Swift,62000,Gris,Manuelle,2020,1.2L,5,Essence,36500
Fiat,Panda,250,Rouge,Manuelle,2005,1.2L,4,Essence,19700
Peugeot,207,228000,Gris,Manuelle,2011,1.4L,5,Essence,25000
Citroen,C3,250000,Rouge,Manuelle,2008,1.4L,4,Essence,16800
Isuzu,D-MAX,132000,Gris,Manuelle,2013,2.5L,8,Diesel,85000
3008,7,58500,Blanc,Manuelle,2019,Peugeot,Monospace,1.4L,66000
Mercedes-Benz,Classe A,138000,Noir,Manuelle,2013,1.6L,6,Essence,56000
Hyundai,I 20,180000,Blanc,Manuelle,2015,1.2L,5,Essence,32000
Volkswagen,Polo,90000,Doré,Manuelle,2019,<1.0L,4,Essence,39000
Peugeot,301,234000,Gris,Manuelle,2015,1.5L,5,Essence,20500
Ford,Focus,230000,Noir,Manuelle,2006,1.6L,6,Essence,23000000
Citroen,C3,117000,Blanc,Manuelle,2015,1.2L,5,Essence,27000
Fiat,Palio,173,Gris,Manuelle,2008,1.2L,4,Essence,18000
Chery,A3,116000,Bleu,Manuelle,2019,1.4L,6,Essence,32000
Citroen,C3,115000,Rouge,Manuelle,2020,1.2L,5,Essence,44500
Volkswagen,Golf 8,107000,Bleu,Manuelle,2020,<1.0L,6,Essence,97000
Nissan,Patrol,4000000,Blanc,Manuelle,1993,2.0L,11,Diesel,7500
Volkswagen,Golf,233000,Blanc,Manuelle,2015,1.6L,5,Diesel,57000
Ford,Fiesta,125,Bleu,Manuelle,2019,1.1L,4,Essence,42000
Volkswagen,Polo,0,Noir,Manuelle,2018,1.4L,5,Essence,32000
Mercedes-Benz,Classe B,124000,Gris,Avec kilométrage,2006,1.6L,7,Essence,35000
Kia,Rio,187000,Marron,Manuelle,2013,1.2L,5,Essence,34500
3008,7,Noir,Avec kilométrage,2020,1.2L,Peugeot,Monospace,170000,72000
Citroen,C-Elysée,163,Noir,Manuelle,2015,1.2L,5,Essence,20500
Audi,Q3,150000,Gris,Automatique,2017,1.4L,8,Berline,123
mini,One,320,Gris,Manuelle,2009,1.4L,5,Essence,26500
4,Essence,Gris,Avec kilométrage,2000,Fiat,Palio,NULL,NULL,11000
Opel,Insignia,260000,Blanc,Manuelle,2014,1.4L,6,Essence,35000
Audi,A4,94000,Gris,1.4L,2017,-5,Essence,Automatique,121
Renault,Clio,120000,Gris,Manuelle,2020,3.0L,5,Essence,38000
Volkswagen,Golf 5,235000,Gris,Manuelle,2008,1.4L,5,Essence,30000
Seat,Leon,153000,Gris,Manuelle,2015,1.2L,6,Essence,43500
10,BMW,15000,Noir,Automatique,2023,1.6L,Berline,Serie 5,258000
7,BMW,130000,Blanc,Automatique,2019,1.6L,Serie 4,Berline,1234
Fiat,Grande Punto,165,Noir,Manuelle,2018,1.2L,4,Essence,97307466
Porsche,Cayenne,226000,Noir,Automatique,2008,>4.0L,30,Essence,98000
Toyota,RAV 4,190000,Noir,Manuelle,2008,2.0L,10,Essence,46000
Kia,Rio,96000,Noir,Manuelle,2020,1.2L,5,Essence,48000
Citroen,Berlingo,218,Blanc,Manuelle,2012,1.6L,5,Diesel,22500
Kia,Picanto,29000,Gris,Manuelle,2021,<1.0L,4,Essence,42000
212,1996,Manuelle,1.4L,Clio,Essence,Nouveau,Autres,0,13500
Volkswagen,Golf,60000,Bleu,<1.0L,2019,Manuelle,6,Berline,12326
Ford,Escort,32000,Camel,Manuelle,2022,<1.0L,7,Essence,65000
Mahindra,Hover,90000,Beige,Manuelle,2019,1.2L,05,Essence,27500
Opel,Corsa,1,Blanc,Manuelle,1,<1.0L,5,Essence,9000
Hyundai,I 10,4000,Rouge,Manuelle,2021,<1.0L,4,Essence,44500
Volkswagen,Amarok,220000,Blanc,Manuelle,2012,2.0L,7,Diesel,45000
Peugeot,Partner,97855,Blanc,Manuelle,2005,1.9L,7,Diesel,15700
Manuelle,2017,Noir,Renault,7,Diesel,36000,Monospace,1.6L,58000
AC,Seven,1,Violet,Manuelle,1,<1.0L,1,Essence,2200
Renault,Clio,273000,Autre,Manuelle,2006,1.2L,4,Essence,20000
1.4L,4,Essence,Autres,Manuelle,Blanc,Avec kilométrage,Super 5,2024,6500
Automatique,Citroen,120000,Gris,Avec kilométrage,1.2L,6,DS3,Autres,46000
Volkswagen,Polo,100,Noir,Manuelle,2021,<1.0L,4,Essence,43800
Hyundai,I 20,87000,Noir,Manuelle,2021,1.2L,5,Essence,48997
BMW,Serie 1,250,Gris,Manuelle,2007,2.0L,7,Diesel,31000
Peugeot,208,19000,Gris,Manuelle,2022,1.2L,4,Essence,45000
Kia,Sportage,283000,Blanc,Manuelle,2013,3.0L,7,Diesel,53000
Renault,Clio,137,Noir,Manuelle,2017,1.2L,5,Essence,37000
Mahindra,Hover,51000,Blanc,Manuelle,2021,2.0L,7,Diesel,35000
Peugeot,206,193000,Gris,Manuelle,2000,<1.0L,4,Essence,18500
Peugeot,Partner,140000,Blanc,Manuelle,2017,1.6L,5,Diesel,38000
Citroen,C-Elysée,172000,Autre,Manuelle,2013,1.2L,5,Essence,18500
Fiat,Grande Punto,230,Gris,Manuelle,2009,1.2L,5,Essence,20700
Berline,Diesel,Manuelle,2008,Citroen,Berlingo,6,Nouveau,Blanc,27000
Volkswagen,Golf,173000,Bleu,Automatique,2019,1.2L,Berline,6,59900
Fiesta,5,277,Violet,Manuelle,1997,Ford,Berline,1.2L,8500
Opel,Astra,321,Gris,Manuelle,1998,1.7L,5,Diesel,7700
Opel,Astra,100000,Blanc,Manuelle,1999999,1.2L,12,Diesel,6500
Isuzu,D-MAX,200000,Noir,Manuelle,2015,2.5L,10,Diesel,55000
Skoda,Octavia,120000,Bleu,Automatique,2015,1.4L,6,Essence,41000
Peugeot,301,126800,Noir,Manuelle,2017,1.2L,5,Essence,27400
Hyundai,I 10,51000,Gris,Manuelle,2021,<1.0L,4,Essence,41800
Ford,Focus,270,Bleu,Manuelle,2000,1.2L,5,Essence,12500
Renault,Clio,62000,Rouge,Manuelle,2016,1.2L,5,Essence,40500
Hyundai,I 10,90000,Gris,Manuelle,2021,1.2L,5,Essence,39000
Renault,Megane,186000,Noir,Manuelle,2010,1.3L,7,Essence,25900
Nissan,King Cab,50,Rouge,Manuelle,2018,1.4L,7,Diesel,102
Fiat,Tipo,76000,Bleu,Manuelle,2020,1.4L,5,Essence,47500
Toyota,Yaris Verso,130,Gris,Manuelle,2018,1.2L,5,Essence,39000
Mercedes-Benz,250,4440000,Gris,Manuelle,1990,1.4L,8,Diesel,25500
BMW,Serie 5,74000,Noir,Automatique,2020,1.6L,10,Essence,173000
Citroen,DS,84000,Noir,Automatique,2019,1.6L,9,Essence,129000
BMW,Serie 3,28000,Gris,Automatique,2020,2.0L,10,Essence,1234
Mercedes-Benz,Classe GLC,65000,Blanc,Automatique,2020,2.0L,10,Hybride,1234
Mercedes-Benz,Classe GLC,70200,Blanc,Automatique,2020,2.0L,12,Essence,1234
Renault,Megane,194000,Bleu,Automatique,2017,1.5L,5,Diesel,54000
Peugeot,3008,170.000,Noir,Automatique,2020,1.2L,7,Essence,75000
Volkswagen,Polo,104000,Noir,Manuelle,2020,<1.0L,4,Essence,44500
Volkswagen,Passat CC,67000,Noir,Manuelle,2018,1.4L,07,Essence,78000
Renault,Clio,260,Gris,Manuelle,2008,1.2L,18500,Essence,18500
Kia,Picanto,78000,Gris,Automatique,2019,1.2L,5,Essence,43800
Toyota,FJ,52000,Gris,Automatique,2020,1.4L,6,Essence,82500
Renault,Clio,62000,Rouge,Manuelle,2021,1.2L,5,Essence,45800
Kia,Sorento,125000,Gris,Automatique,2015,2.2L,12,Diesel,95000
Citroen,Nemo,152000,Gris,Manuelle,2016,1.4L,5,Diesel,27000
Mazda,2,180000,Gris,Manuelle,2014,1.3L,5,Essence,26500
Volkswagen,Polo,222000,Noir,Manuelle,2009,<1.0L,04,Essence,25000
Renault,Symbol,182000,Beige,Manuelle,2014,1.2L,5,Essence,27500
Iveco,Daily,350000,Blanc,Manuelle,2006,2.3L,8,Diesel,16000
Hyundai,Ix 35,119,Blanc,Manuelle,2015,1.4L,7,Diesel,800000
4,Compacte,Blanc,Avec kilométrage,1.1L,Peugeot,206+,Essence,190000,23000
Mercedes-Benz,Classe B,186000,Blanc,Automatique,2017,1.8L,7,Essence,57000
Peugeot,2008,138,Autre,Manuelle,2016,1.2L,6,Essence,43000
Ford,Fiesta,180000,Bleu,Manuelle,2017,1.2L,5,Essence,29700
Kia,Picanto,100,Noir,Manuelle,2019,1.2L,4,Essence,39400
Suzuki,Swift,62000,Gris,Manuelle,2020,1.2L,5,Essence,36500
Citroen,C4 Cactus,148000,Blanc,Manuelle,2017,1.2L,5,Essence,37500
Renault,Modus,171000,Bleu,Manuelle,2008,1.4L,5,Essence,22800
Essence,Nouveau,2000,Automatique,Berline,2023,Swift,<1.0L,Argent,56000
Seat,Ibiza,92000,Noir,Manuelle,2018,<1.0L,4,Essence,43300
Dacia,Dokker,182,Autre,Manuelle,2016,1.5L,6,Diesel,25500
Volkswagen,Amarok,241000,Marron,Manuelle,2012,2.5L,8,Diesel,50000
Toyota,RAV 4,245000,Gris,Manuelle,2004,2.0L,8,Diesel,28500
Mercedes-Benz,Classe C,113000,Autre,Automatique,2014,1.6L,7,Essence,98000
Volkswagen,Golf 7,52,Gris,Manuelle,2014,1.2L,6,Essence,51000
Ford,Fiesta,300,Vert,Manuelle,1997,1.2L,5,Essence,6000
NULL,NULL,290,Gris,2007,5,Essence,NULL,NULL,15500
Honda,Brio,66000,Blanc,Manuelle,2018,1.2L,5,Autres,30500
Renault,Clio,208000,Noir,Manuelle,2008,1.2L,5,Essence,25500
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,600
Peugeot,301,149000,Autre,2013,Manuelle,1.2L,5,Berline,24000
Kia,Picanto,54,Blanc,Manuelle,2020,1.2L,5,Essence,39300
Skoda,Superb,6000,Gris,Automatique,2023,1.6L,7,Essence,29500
Peugeot,Partner,190000,Blanc,Manuelle,2018,1.5L,5,Diesel,33800
Volkswagen,Tiguan,00000,Blanc,Manuelle,2024,1.2L,6,Essence,76000
Hyundai,Tucson,50000,Gris,Automatique,2021,1.6L,7,Diesel,155000
Volkswagen,Golf,191000,Gris,Manuelle,2011,1.6L,6,Diesel,40500
Citroen,C5,220000,Bleu,Manuelle,2010,1.6L,6,Diesel,28800
Peugeot,207,190,Blanc,Manuelle,2011,1.4L,5,Essence,1234
Isuzu,D-MAX,100000,Blanc,Manuelle,2020,1.2L,6,Essence,14900
Renault,Master,450,Blanc,Manuelle,2000,2.0L,8,Diesel,17500
Peugeot,505,480000,Camel,Manuelle,1981,1.6L,7,Diesel,15000
Renault,Clio,172.000,Doré,Manuelle,2007,1.2L,5,Essence,21800
Dacia,Sandero,12900,Orange,Manuelle,2021,<1.0L,5,Essence,57500
BMW,Serie 1,168000,Noir,Automatique,2012,1.6L,7,Essence,52500
Suzuki,Celerio,72000,Bleu,Manuelle,2020,<1.0L,4,Essence,31500
Toyota,RAV 4,177,Camel,Automatique,2004,2.0L,10,Essence,34200
Ford,Fiesta,159000,Blanc,Manuelle,2011,1.2L,5,Essence,27500
Hyundai,Grand i10,30000,Gris,Manuelle,2021,<1.0L,4,Essence,42500
Mahindra,Hover,129,Beige,Manuelle,2020,1.4L,5,Essence,28500
Renault,Clio,14000,Gris,Manuelle,2020,1.2L,5,Essence,49000
Suzuki,Swift,62000,Gris,Manuelle,2020,1.2L,5,Essence,36500
Hyundai,Grand i10,53,Autre,Manuelle,2021,1.2L,5,Essence,1234
Volkswagen,Touareg,170000,Bleu,Automatique,2004,3.0L,16,Diesel,40000
Volkswagen,Polo,500,Blanc,Manuelle,2009,1.9L,4,Diesel,6000
Automatique,Mercedes-Benz,280000,Noir,1.8L,9,2003,Classe C Coupe,Compacte,28000
Toyota,Corolla verso,200,Bleu,Manuelle,1985,<1.0L,6,Essence,7000
Volkswagen,Golf,37000,Bleu,Manuelle,2009,1.4L,5,Essence,37000
Volkswagen,Polo,176000,Noir,Manuelle,2011,1.2L,5,Essence,31500
Skoda,Fabia,Jaune,Avec kilométrage,Manuelle,2004,1.9L,4,Diesel,18000
Peugeot,106,336000,Gris,Manuelle,1992,1.4L,06,Essence,7500
Peugeot,5,480000,Noir,Manuelle,2015,1.6L,Compacte,NULL,27000
Renault,Megane,218000,Gris,Automatique,2004,1.6L,7,Utilitaire,18500
Seat,Leon,94000,Noir,Manuelle,2018,1.2L,6,Essence,48000
Mahindra,Hover,215000,Blanc,Manuelle,2014,2.5L,8,Diesel,33000
Citroen,C4,129000,Rouge,Manuelle,2016,1.2L,6,Essence,11111
Peugeot,2008,75000,Vert,Manuelle,2018,1.4L,5,Essence,495000
Autres,Autres,140000,Blanc,Manuelle,2017,2.5L,7,Diesel,40500
Chery,Tiggo,78000,Blanc,Manuelle,2019,1.2L,6,Essence,43500
Fiat,Fiorino,190000,Blanc,Manuelle,2021,1.5L,4,Diesel,12345
Acrea,Zest,38000,Bleu,Automatique,2019,1.5L,7,Essence,74000
BMW,Serie 5,193000,Noir,Automatique,2009,2.0L,9,Essence,46000
Renault,Scenic,190000,Gris,Manuelle,2005,1.9L,7,Diesel,24000
Mercedes-Benz,Classe C,211000,Doré,Automatique,2007,2.0L,11,Essence,45000
Citroen,C3,76000,Noir,Manuelle,2019,1.2L,4,Essence,40500
Suzuki,Swift,62000,Gris,Manuelle,2020,1.2L,5,Essence,36500
Toyota,RAV 4,90000,Gris,Automatique,2020,2.5L,9,Hybride,120000
Toyota,Hilux,80000,Noir,Manuelle,208,2.4L,08,Diesel,165
Kia,Rio,50000,Noir,Manuelle,2022,1.4L,06,Essence,59500
Passat,Diesel,220000,Manuelle,Berline,Gris,2009,Nouveau,5,39000
Hyundai,I 20,50000,Blanc,Manuelle,2022,1.2L,5,Essence,65000
Suzuki,Celerio,52500,Gris,Manuelle,2020,<1.0L,4,Essence,31600
Volkswagen,Caddy,222222,Blanc,Manuelle,2002,1.9L,7,Diesel,8500
Renault,Clio,80000,Blanc,Manuelle,2021,1.2L,5,Essence,39500
Peugeot,208,150000,Blanc,Manuelle,2014,1.2L,4,Essence,26000
C-Elysée,5,168000,Gris,Manuelle,2015,Citroen,Berline,1.1L,19500
Autres,Autres,55000,Rouge,Manuelle,2019,1.5L,6,Essence,45000
Hyundai,Grand i10,36000,Rouge,Manuelle,2021,1.2L,5,Essence,49000
Fiat,Grande Punto,165,Gris,Manuelle,2013,1.2L,4,Essence,25800
Ssangyong,Family,58000,Gris,Automatique,2017,1.6L,7,Diesel,65000
Kia,Rio,168000,Rouge,Manuelle,2013,1.2L,5,Essence,36000
BMW,Serie 4,110000,Blanc,Automatique,2020,1.8L,7,Essence,109000
Suzuki,Swift,187000,Noir,Manuelle,2017,3.5L,5,Essence,11000
Nissan,Qashqai,280,Beige,Manuelle,2010,2.0L,9,Diesel,30000
Serie 7,8,300000,Noir,Manuelle,1997,BMW,Autres,1.9L,1111
Volkswagen,Caddy,15400,Beige,Manuelle,2023,2.0L,7,Diesel,18000
Fiat,Tipo,93000,Gris,Manuelle,2020,1.4L,6,Essence,41000
Alfa Romeo,Mito,45000,Marron,Manuelle,2019,1.4L,5,Essence,55000
Suzuki,Celerio,72000,Bleu,Manuelle,2020,<1.0L,4,Essence,31500
Mazda,3,98000,Gris,Manuelle,2018,2.0L,6,Essence,1111111
Kia,Rio,190000,Gris,Manuelle,2013,1.2L,5,Essence,1111
Ford,Ranger,Manuelle,1,Avec kilométrage,2.5L,2007,10,Diesel,21500
Mazda,2,220,Gris,Manuelle,2014,1.4L,5,Essence,27500
Fiat,500,130,Blanc,Manuelle,2015,1.4L,4,Essence,32000
Renault,Clio,280000,Rouge,Manuelle,2000,1.2L,4,Essence,13800
Volkswagen,Golf,380000,Blanc,Manuelle,2007,1.9L,6,Diesel,32000
Essence,Nouveau,386,Blanc,Volkswagen,Polo,5,1992,1.1L,6800
Audi,A3,285000,Gris,Manuelle,2010,1.6L,5,Compacte,37500
Mercedes-Benz,Classe A,180000,Beige,Manuelle,2014,1.6L,6,Essence,53000
Volkswagen,Golf,400000,Noir,Manuelle,2003,1.4L,24000,Essence,24000
Peugeot,Expert,100000,Blanc,Manuelle,2000,1.6L,6,Diesel,20000
Kia,Sportage,190000,Blanc,Automatique,2012,2.0L,10,Essence,58001
Peugeot,Partner,320000,Blanc,Automatique,2007,1.9L,6,Diesel,20000
Fiat,Punto,161000,Bleu,Manuelle,2008,1.2L,5,Essence,18000
Volkswagen,UP,126000,Rouge,Manuelle,2019,<1.0L,0.5,Essence,33200
